ksh_settlement_code,settlement_name
15538,Kővágószőlős
15556,Sand
15592,Patosfa
15626,Somogysámson
15635,Tarrós
15732,Kaposújlak
15769,Esztergályhorváti
15820,Felsőnána
15848,Zengővárkony
15866,Szentlőrinc
15884,Drávatamási
15909,Nágocs
15927,Jákó
15981,Somogydöröcske
16018,Mélykút
16027,Monyoród
16106,Mesztegnyő
16115,Pellérd
16249,Kiscsehi
16258,Lad
16285,Mindszentgodisa
16346,Besnyő
16382,Tótszentmárton
16407,Tótújfalu
16443,Markóc
16452,Nagyvejke
16461,Berkesd
16470,Balatonújlak
16498,Egyházasharaszti
16513,Nagyrada
16726,Hedrehely
16735,Tarany
16771,Székelyszabar
16805,Kékesd
16814,Szedres
16823,Ordacsehi
16896,Zalaigrice
16948,Mátyásdomb
16975,Kisherend
16984,Szellő
17127,Beleg
17190,Helesfa
17242,Pogány
17279,Juta
17358,Buzsák
17400,Zalaapáti
17419,Drávafok
17446,Kelevíz
17464,Kásád
17491,Zselicszentpál
17543,Bocfölde
17552,Mezőfalva
17561,Nemesvid
17604,Liget
17631,Siófok
17640,Keszőhidegkút
17710,Kisdorog
17738,Igar
17747,Zádor
17792,Patapoklosi
17835,Fazekasboda
17844,Tikos
17899,Kölked
17914,Felsőnyék
17941,Nagyatád
17950,Fürged
18023,Nemesrádó
18041,Karmacs
18050,Sámod
18078,Somogyfajsz
18096,Zalaszentjakab
18111,Nagycsány
18120,Bolhó
18148,Kötcse
18227,Kaposmérő
18236,Nemeske
18263,Szárazd
18315,Gyód
18333,Gilvánfa
18388,Nagydorog
18421,Keszthely
18449,Zalaszentmihály
18500,Marcali
18519,Vejti
18546,Somogyszob
18555,Olasz
18564,Zalaszentbalázs
18607,Szegerdő
18634,Hács
18661,Ózdfalu
18698,Bázakerettye
18704,Erdősmecske
18768,Zalaköveskút
18865,Lúzsok
18908,Kisasszonyfa
18917,Murga
18962,Kaposszekcső
18980,Fadd
19008,Belvárdgyula
19017,Visnye
19026,Pusztakovácsi
19053,Kisasszond
19080,Söjtör
19132,Kátoly
19150,Homokszentgyörgy
19202,Dúzs
19284,Cikó
19354,Perkáta
19415,Pécs
19442,Somogyvár
19585,Pincehely
19619,Iharos
19646,Ófalu
19725,Versend
19770,Osztopán
19831,Szilágy
19859,Nemespátró
19877,Nagypall
19901,Csányoszró
19910,Kiskassa
19929,Bókaháza
19938,Pusztahencse
20039,Gétye
20057,Somogyegres
20093,Törökkoppány
20279,Véménd
20321,Rinyaújnép
20330,Somogygeszti
20358,Előszállás
20473,Kaposvár
20507,Kurd
20552,Királyegyháza
20561,Újireg
20589,Nagykapornak
20598,Nagycsepely
20613,Búcsúszentlászló
20622,Rinyaújlak
20659,Márok
20686,Okorág
20701,Mórágy
20710,Bedegkér
20783,Simontornya
20817,Sárszentlőrinc
20835,Orbányosfa
20862,Sárok
20899,Boda
20905,Mike
20941,Kistolmács
20978,Téseny
21014,Molnári
21023,Hegyszentmárton
21096,Pécsudvard
21139,Börzönce
21184,Koppányszántó
21281,Somogyviszló
21315,Csurgó
21324,Balatonszentgyörgy
21333,Istvándi
21360,Udvari
21379,Kisbucsa
21449,Nagyberki
21476,Felsőrajk
21519,Pécsbagota
21528,Harkány
21591,Csebény
21616,Kislippó
21625,Zomba
21652,Nagybajom
21698,Drávasztára
21704,Old
21731,Kéty
21856,Somogyvámos
21892,Bogádmindszent
22026,Fonó
22071,Velény
22211,Szőke
22257,Szalánta
22266,Pócsa
22424,Tormás
22433,Kocsola
22576,Csonkamindszent
22600,Magyarszék
