weather_profile_id,station_id,equipment_id,supply_temperature_C,hours_total,hours_below_minus7C,hours_inside_performance_domain,hours_above_plus7C,share_inside_current_performance_domain,minimum_observed_temperature_C,new_hours_inside_performance_domain,new_share_inside_performance_domain,remaining_hours_below_new_minimum_performance_C,new_minimum_performance_temperature_C,status,source_id,notes
B05-REF-OBS-2025-15310,15310,STIEBEL-HPA-O-4-CS-PLUS-INT,35,8760,14,3147,5599,0.359247,-10.7,3161,0.360845,0,-15,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,Weather-domain coverage only (not heating-runtime coverage); old STIEBEL domain is -7/+7 C and new HPA-O 4 W35 source-native domain is -15/+7 C; no demand assumptions.
B05-REF-OBS-2025-44527,44527,STIEBEL-HPA-O-4-CS-PLUS-INT,35,8760,9,2852,5899,0.325571,-8,2861,0.326598,0,-15,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,Weather-domain coverage only (not heating-runtime coverage); old STIEBEL domain is -7/+7 C and new HPA-O 4 W35 source-native domain is -15/+7 C; no demand assumptions.
B05-REF-OBS-2025-58102,58102,STIEBEL-HPA-O-4-CS-PLUS-INT,35,8760,0,2526,6234,0.288356,-4.6,2526,0.288356,0,-15,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,Weather-domain coverage only (not heating-runtime coverage); old STIEBEL domain is -7/+7 C and new HPA-O 4 W35 source-native domain is -15/+7 C; no demand assumptions.
B05-REF-OBS-2025-46304,46304,STIEBEL-HPA-O-4-CS-PLUS-INT,35,8760,73,3040,5647,0.347032,-12.5,3113,0.355365,0,-15,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,Weather-domain coverage only (not heating-runtime coverage); old STIEBEL domain is -7/+7 C and new HPA-O 4 W35 source-native domain is -15/+7 C; no demand assumptions.
B05-REF-OBS-2025-52744,52744,STIEBEL-HPA-O-4-CS-PLUS-INT,35,8760,55,3132,5573,0.357534,-9.6,3187,0.363813,0,-15,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,Weather-domain coverage only (not heating-runtime coverage); old STIEBEL domain is -7/+7 C and new HPA-O 4 W35 source-native domain is -15/+7 C; no demand assumptions.
B05-EXTREME-OBSERVED-72H-15310,15310,STIEBEL-HPA-O-4-CS-PLUS-INT,35,72,63,9,0,0.125,-21.9,35,0.486111,37,-15,OBS,SRC-B05-HUNGARY-HOURLY-HIST-2026,Observed event weather-domain coverage only (not heating-runtime coverage); old -7/+7 C versus new -15/+7 C HPA-O 4 W35 source-native domain; this is not a return-period estimate.
