source_row_id,source_id,reference_period,occupancy_scope,ksh_2015_settlement_type,wbl_settlement_code,wbl_settlement_label,category_alignment,building_size_band,canonical_building_type,dwelling_count,evidence_status,source_url,source_pdf_page,retrieved_at,source_sha256,notes
SRCROW-B02-BTYPE-012,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Város,EV,Egyéb város,APPROXIMATE,4-12,MULTI_DWELLING,125300,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-013,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Város,EV,Egyéb város,APPROXIMATE,13-24,MULTI_DWELLING,109900,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-014,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Város,EV,Egyéb város,APPROXIMATE,25-50,MULTI_DWELLING,92000,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-015,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Város,EV,Egyéb város,APPROXIMATE,GT50,MULTI_DWELLING,92500,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-016,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Község,K,Község,EXACT,1-3,FAMILY_HOUSE,1216300,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-017,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Község,K,Község,EXACT,4-12,MULTI_DWELLING,12200,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-018,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Község,K,Község,EXACT,13-24,MULTI_DWELLING,2200,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-019,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Község,K,Község,EXACT,25-50,MULTI_DWELLING,1700,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-020,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,ALL_DWELLINGS,Község,K,Község,EXACT,GT50,MULTI_DWELLING,800,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-021,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Budapest,FV,Budapest,EXACT,1-3,FAMILY_HOUSE,153800,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-022,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Budapest,FV,Budapest,EXACT,4-12,MULTI_DWELLING,123600,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-023,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Budapest,FV,Budapest,EXACT,13-24,MULTI_DWELLING,114500,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-024,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Budapest,FV,Budapest,EXACT,25-50,MULTI_DWELLING,165600,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-025,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Budapest,FV,Budapest,EXACT,GT50,MULTI_DWELLING,294900,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-026,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Megyeszékhely,MJV,Megyei jogú város,APPROXIMATE,1-3,FAMILY_HOUSE,254600,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-027,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Megyeszékhely,MJV,Megyei jogú város,APPROXIMATE,4-12,MULTI_DWELLING,77500,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-028,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Megyeszékhely,MJV,Megyei jogú város,APPROXIMATE,13-24,MULTI_DWELLING,94200,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-029,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Megyeszékhely,MJV,Megyei jogú város,APPROXIMATE,25-50,MULTI_DWELLING,103900,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-030,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Megyeszékhely,MJV,Megyei jogú város,APPROXIMATE,GT50,MULTI_DWELLING,187500,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-031,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Város,EV,Egyéb város,APPROXIMATE,1-3,FAMILY_HOUSE,918700,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-032,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Város,EV,Egyéb város,APPROXIMATE,4-12,MULTI_DWELLING,108700,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-033,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Város,EV,Egyéb város,APPROXIMATE,13-24,MULTI_DWELLING,93000,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-034,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Város,EV,Egyéb város,APPROXIMATE,25-50,MULTI_DWELLING,82200,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-035,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Város,EV,Egyéb város,APPROXIMATE,GT50,MULTI_DWELLING,82600,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-036,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Község,K,Község,EXACT,1-3,FAMILY_HOUSE,991300,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-037,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Község,K,Község,EXACT,4-12,MULTI_DWELLING,10600,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-038,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Község,K,Község,EXACT,13-24,MULTI_DWELLING,1800,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-039,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Község,K,Község,EXACT,25-50,MULTI_DWELLING,1400,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
SRCROW-B02-BTYPE-040,SRC-B02-KSH-HOUSING-SURVEY-2015,2015,OCCUPIED_DWELLINGS,Község,K,Község,EXACT,GT50,MULTI_DWELLING,300,OBS,https://www.ksh.hu/docs/hun/xftp/idoszaki/pdf/miben_elunk15.pdf,6,2026-08-12,5d17fa94a1a7d02ff40501aa75372d42238ca49fe288f959782d4b9f58b61e6f,KSH 2015 housing survey Table 1; survey-weighted estimate.
